disease_id	disease_scope	priva_scope	scope_review_status	scope_evidence	scope_reference	scope_note	reviewer_model	reviewed_at_hkt
OMIM:133180	mendelian_susceptibility_uncertain	review	manual_review_unresolved	manual_evidence_review;HPO_mendelian_inheritance;MONDO_ancestor:MONDO:0003847;MONDO_subset:omim_susceptibility;no_MONDO_ORPHA_identity_mapping;no_decisive_inherited_complex_or_somatic_only_evidence	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;OMIM:133180	Retained for review: HPO reports Mendelian inheritance (HP:0000006; evidence IEA), but MONDO marks a susceptibility/predisposition context and no assessed exact disease-and-gene Orphadata germline association independently resolves whether this is monogenic or complex.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:133239	neoplastic_uncertain	review	manual_review_unresolved	manual_evidence_review;MONDO_ancestor:MONDO:0005070;no_MONDO_ORPHA_identity_mapping;no_decisive_inherited_complex_or_somatic_only_evidence	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;OMIM:133239	Retained for review: MONDO/HPO and assessed exact disease-and-gene Orphadata evidence do not decisively distinguish inherited, confirmed non-monogenic, or somatic-only scope.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:136570	uncertain	review	manual_review_unresolved	manual_evidence_review;none;no_MONDO_ORPHA_identity_mapping;no_decisive_inherited_complex_or_somatic_only_evidence	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;OMIM:136570;PMID:22970919	Retained for review: MONDO/HPO and assessed exact disease-and-gene Orphadata evidence do not decisively distinguish inherited, confirmed non-monogenic, or somatic-only scope.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:137580	mendelian_susceptibility_uncertain	review	manual_review_unresolved	manual_evidence_review;HPO_mendelian_inheritance;MONDO_ancestor:MONDO:0003847;MONDO_subset:omim_susceptibility;no_MONDO_ORPHA_identity_mapping;no_decisive_inherited_complex_or_somatic_only_evidence	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;OMIM:137580	Retained for review: HPO reports Mendelian inheritance (HP:0000006; evidence IEA), but MONDO marks a susceptibility/predisposition context and no assessed exact disease-and-gene Orphadata germline association independently resolves whether this is monogenic or complex.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:137800	mendelian_susceptibility_uncertain	review	manual_review_unresolved	manual_evidence_review;HPO_mendelian_inheritance;MONDO_ancestor:MONDO:0003847;MONDO_subset:predisposition;MONDO_subset:omim_susceptibility;no_MONDO_ORPHA_identity_mapping;no_decisive_inherited_complex_or_somatic_only_evidence	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;OMIM:137800	Retained for review: HPO reports Mendelian inheritance (HP:0000006; evidence TAS), but MONDO marks a susceptibility/predisposition context and no assessed exact disease-and-gene Orphadata germline association independently resolves whether this is monogenic or complex.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:140600	mendelian_susceptibility_uncertain	review	manual_review_unresolved	manual_evidence_review;HPO_mendelian_inheritance;MONDO_subset:predisposition;MONDO_subset:omim_susceptibility;no_MONDO_ORPHA_identity_mapping;no_decisive_inherited_complex_or_somatic_only_evidence	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;OMIM:140600	Retained for review: HPO reports Mendelian inheritance (HP:0000006; evidence TAS), but MONDO marks a susceptibility/predisposition context and no assessed exact disease-and-gene Orphadata germline association independently resolves whether this is monogenic or complex.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:142623	mendelian_susceptibility_uncertain	review	manual_review_unresolved	manual_evidence_review;HPO_mendelian_inheritance;MONDO_subset:predisposition;MONDO_subset:omim_susceptibility;no_MONDO_ORPHA_identity_mapping;no_decisive_inherited_complex_or_somatic_only_evidence	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;OMIM:142623	Retained for review: HPO reports Mendelian inheritance (HP:0000006; evidence IEA), but MONDO marks a susceptibility/predisposition context and no assessed exact disease-and-gene Orphadata germline association independently resolves whether this is monogenic or complex.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:143465	mendelian_susceptibility_uncertain	review	manual_review_unresolved	manual_evidence_review;HPO_mendelian_inheritance;MONDO_subset:omim_susceptibility;no_MONDO_ORPHA_identity_mapping;no_decisive_inherited_complex_or_somatic_only_evidence	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;OMIM:143465	Retained for review: HPO reports Mendelian inheritance (HP:0000006; evidence IEA), but MONDO marks a susceptibility/predisposition context and no assessed exact disease-and-gene Orphadata germline association independently resolves whether this is monogenic or complex.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:143870	mendelian_susceptibility_uncertain	review	manual_review_unresolved	manual_evidence_review;HPO_mendelian_inheritance;MONDO_ancestor:MONDO:0003847;MONDO_subset:omim_susceptibility;no_MONDO_ORPHA_identity_mapping;no_decisive_inherited_complex_or_somatic_only_evidence	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;PMID:11932268;OMIM:143870	Retained for review: HPO reports Mendelian inheritance (HP:0000006; evidence PCS), but MONDO marks a susceptibility/predisposition context and no assessed exact disease-and-gene Orphadata germline association independently resolves whether this is monogenic or complex.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:143890	mendelian_susceptibility_uncertain	review	manual_review_unresolved	manual_evidence_review;HPO_mendelian_inheritance;MONDO_ancestor:MONDO:0003847;MONDO_subset:omim_susceptibility;no_MONDO_ORPHA_identity_mapping;no_decisive_inherited_complex_or_somatic_only_evidence	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;PMID:1301956;OMIM:143890	Retained for review: HPO reports Mendelian inheritance (HP:0000006,HP:0000007; evidence PCS), but MONDO marks a susceptibility/predisposition context and no assessed exact disease-and-gene Orphadata germline association independently resolves whether this is monogenic or complex.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:144700	neoplastic_uncertain	review	manual_review_unresolved	manual_evidence_review;MONDO_ancestor:MONDO:0005070;MONDO_subset:omim_susceptibility;no_MONDO_ORPHA_identity_mapping;no_decisive_inherited_complex_or_somatic_only_evidence	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;OMIM:144700	Retained for review: MONDO/HPO and assessed exact disease-and-gene Orphadata evidence do not decisively distinguish inherited, confirmed non-monogenic, or somatic-only scope.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:145600	mendelian_susceptibility_uncertain	review	manual_review_unresolved	manual_evidence_review;HPO_mendelian_inheritance;MONDO_subset:predisposition;MONDO_subset:omim_susceptibility;no_MONDO_ORPHA_identity_mapping;no_decisive_inherited_complex_or_somatic_only_evidence	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;PMID:9497245;OMIM:145600;PMID:16163667	Retained for review: HPO reports Mendelian inheritance (HP:0000006; evidence PCS), but MONDO marks a susceptibility/predisposition context and no assessed exact disease-and-gene Orphadata germline association independently resolves whether this is monogenic or complex.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:145750	mendelian_susceptibility_uncertain	review	manual_review_unresolved	manual_evidence_review;HPO_mendelian_inheritance;MONDO_ancestor:MONDO:0003847;MONDO_subset:omim_susceptibility;no_MONDO_ORPHA_identity_mapping;no_decisive_inherited_complex_or_somatic_only_evidence	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;OMIM:145750	Retained for review: HPO reports Mendelian inheritance (HP:0000006; evidence IEA), but MONDO marks a susceptibility/predisposition context and no assessed exact disease-and-gene Orphadata germline association independently resolves whether this is monogenic or complex.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:146500	mendelian_susceptibility_uncertain	review	manual_review_unresolved	manual_evidence_review;HPO_mendelian_inheritance;MONDO_subset:omim_susceptibility;no_MONDO_ORPHA_identity_mapping;no_decisive_inherited_complex_or_somatic_only_evidence	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;OMIM:146500	Retained for review: HPO reports Mendelian inheritance (HP:0000006,HP:0000007; evidence IEA,TAS), but MONDO marks a susceptibility/predisposition context and no assessed exact disease-and-gene Orphadata germline association independently resolves whether this is monogenic or complex.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:148000	mendelian_susceptibility_uncertain	review	manual_review_unresolved	manual_evidence_review;HPO_mendelian_inheritance;MONDO_ancestor:MONDO:0003847;MONDO_subset:predisposition;MONDO_subset:omim_susceptibility;no_MONDO_ORPHA_identity_mapping;no_decisive_inherited_complex_or_somatic_only_evidence	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;OMIM:148000	Retained for review: HPO reports Mendelian inheritance (HP:0000006; evidence IEA), but MONDO marks a susceptibility/predisposition context and no assessed exact disease-and-gene Orphadata germline association independently resolves whether this is monogenic or complex.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:150600	mendelian_non_neoplastic	include	manually_confirmed	manual_evidence_review;MONDO_exact_ORPHA_xref;ORPHADATA_exact_gene_association:Disease_causing_germline_mutation_s_in	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;OMIM:150600;ORPHADATA_PRODUCT6:2026-06-23;ORPHA:2380;PMID:17394019;PMID:18512791	Included after exact MONDO-Orphanet disease mapping and assessed Orphadata disease-causing germline association for HPO-linked gene(s) COL2A1. Association type(s): Disease-causing germline mutation(s) in.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:152700	mendelian_susceptibility_uncertain	review	manual_review_unresolved	manual_evidence_review;HPO_mendelian_inheritance;MONDO_ancestor:MONDO:0003847;MONDO_subset:omim_susceptibility;MONDO_exact_ORPHA_xref;ORPHADATA_exact_gene_association:Major_susceptibility_factor_in;no_decisive_inherited_complex_or_somatic_only_evidence	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;OMIM:152700;PMID:9796581;PMID:26342222;ORPHADATA_PRODUCT6:2026-06-23;ORPHA:536;PMID:17660818;PMID:23732569;PMID:23943494;PMID:12115230;PMID:20385827;PMID:11479590	Retained for review after disease-and-gene-specific check. Assessed Orphadata association type(s) for HPO-linked gene(s) DNASE1,FCGR2B,TREX1 are Major susceptibility factor in; these do not by themselves establish Mendelian causality, confirmed non-monogenic etiology, or somatic-only disease scope.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:153800	mendelian_susceptibility_uncertain	review	manual_review_unresolved	manual_evidence_review;HPO_mendelian_inheritance;MONDO_ancestor:MONDO:0003847;MONDO_subset:omim_susceptibility;no_MONDO_ORPHA_identity_mapping;no_decisive_inherited_complex_or_somatic_only_evidence	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;OMIM:153800;PMID:9295268	Retained for review: HPO reports Mendelian inheritance (HP:0000006; evidence TAS), but MONDO marks a susceptibility/predisposition context and no assessed exact disease-and-gene Orphadata germline association independently resolves whether this is monogenic or complex.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:155600	mendelian_susceptibility_uncertain	review	manual_review_unresolved	manual_evidence_review;HPO_mendelian_inheritance;MONDO_ancestor:MONDO:0003847;MONDO_subset:predisposition;no_MONDO_ORPHA_identity_mapping;no_decisive_inherited_complex_or_somatic_only_evidence	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;OMIM:155600	Retained for review: HPO reports Mendelian inheritance (HP:0000006; evidence IEA), but MONDO marks a susceptibility/predisposition context and no assessed exact disease-and-gene Orphadata germline association independently resolves whether this is monogenic or complex.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:155601	mendelian_susceptibility_uncertain	review	manual_review_unresolved	manual_evidence_review;HPO_mendelian_inheritance;MONDO_ancestor:MONDO:0003847;MONDO_subset:predisposition;MONDO_subset:omim_susceptibility;no_MONDO_ORPHA_identity_mapping;no_decisive_inherited_complex_or_somatic_only_evidence	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;OMIM:155601	Retained for review: HPO reports Mendelian inheritance (HP:0000006; evidence TAS), but MONDO marks a susceptibility/predisposition context and no assessed exact disease-and-gene Orphadata germline association independently resolves whether this is monogenic or complex.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:155755	mendelian_susceptibility_uncertain	review	manual_review_unresolved	manual_evidence_review;HPO_mendelian_inheritance;MONDO_ancestor:MONDO:0003847;MONDO_subset:omim_susceptibility;MONDO_exact_ORPHA_xref;no_decisive_inherited_complex_or_somatic_only_evidence	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;OMIM:155755	Retained for review: HPO reports Mendelian inheritance (HP:0000006; evidence TAS), but MONDO marks a susceptibility/predisposition context and no assessed exact disease-and-gene Orphadata germline association independently resolves whether this is monogenic or complex.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:156240	neoplastic_uncertain	review	manual_review_unresolved	manual_evidence_review;MONDO_ancestor:MONDO:0005070;MONDO_subset:omim_susceptibility;MONDO_exact_ORPHA_xref;no_decisive_inherited_complex_or_somatic_only_evidence	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;OMIM:156240	Retained for review: MONDO/HPO and assessed exact disease-and-gene Orphadata evidence do not decisively distinguish inherited, confirmed non-monogenic, or somatic-only scope.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:157300	mendelian_susceptibility_uncertain	review	manual_review_unresolved	manual_evidence_review;HPO_mendelian_inheritance;MONDO_subset:predisposition;MONDO_subset:omim_susceptibility;no_MONDO_ORPHA_identity_mapping;no_decisive_inherited_complex_or_somatic_only_evidence	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;OMIM:157300	Retained for review: HPO reports Mendelian inheritance (HP:0000006; evidence IEA), but MONDO marks a susceptibility/predisposition context and no assessed exact disease-and-gene Orphadata germline association independently resolves whether this is monogenic or complex.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:159595	somatic_oncogenic	exclude	manually_confirmed	manual_evidence_review;MONDO_neoplasm_ancestry;MONDO_exact_ORPHA_xref;ORPHADATA_exact_gene_association:Disease_causing_somatic_mutation_s_in	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;OMIM:159595;ORPHADATA_PRODUCT6:2026-06-23;ORPHA:420611;PMID:14636651	Excluded from germline PriVA transfer: MONDO classifies the condition as a neoplasm and assessed Orphadata associations for HPO-linked gene(s) GATA1 are somatic/fusion (Disease-causing somatic mutation(s) in), with no assessed exact-gene germline association.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:160150	mendelian_non_neoplastic	include	manually_confirmed	manual_evidence_review;MONDO_exact_ORPHA_xref;ORPHADATA_exact_gene_association:Disease_causing_germline_mutation_s_in	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;PMID:22396310;OMIM:160150;PMID:24465259;PMID:32826616;PMID:35081925;ORPHADATA_PRODUCT6:2026-06-23;ORPHA:169189;PMID:16227997	Included after exact MONDO-Orphanet disease mapping and assessed Orphadata disease-causing germline association for HPO-linked gene(s) DNM2. Association type(s): Disease-causing germline mutation(s) in.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:164230	mendelian_susceptibility_uncertain	review	manual_review_unresolved	manual_evidence_review;HPO_mendelian_inheritance;MONDO_ancestor:MONDO:0003847;MONDO_subset:omim_susceptibility;no_MONDO_ORPHA_identity_mapping;no_decisive_inherited_complex_or_somatic_only_evidence	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;OMIM:164230;PMID:15820710	Retained for review: HPO reports Mendelian inheritance (HP:0000006; evidence TAS), but MONDO marks a susceptibility/predisposition context and no assessed exact disease-and-gene Orphadata germline association independently resolves whether this is monogenic or complex.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:166710	mendelian_susceptibility_uncertain	review	manual_review_unresolved	manual_evidence_review;HPO_mendelian_inheritance;MONDO_subset:omim_susceptibility;no_MONDO_ORPHA_identity_mapping;no_decisive_inherited_complex_or_somatic_only_evidence	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;OMIM:166710	Retained for review: HPO reports Mendelian inheritance (HP:0000006; evidence IEA), but MONDO marks a susceptibility/predisposition context and no assessed exact disease-and-gene Orphadata germline association independently resolves whether this is monogenic or complex.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:166760	conflicting_inheritance	review	manual_review_unresolved	manual_evidence_review;HPO_mendelian_inheritance;HPO_non_monogenic_inheritance;MONDO_subset:predisposition;MONDO_subset:omim_susceptibility;no_MONDO_ORPHA_identity_mapping;no_decisive_inherited_complex_or_somatic_only_evidence	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;OMIM:166760;PMID:26121085	Retained for review because HPO contains both Mendelian and non-monogenic inheritance assertions. No assessed exact disease-and-gene Orphadata germline association resolved that conflict.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:167800	mendelian_non_neoplastic	include	manually_confirmed	manual_evidence_review;MONDO_exact_ORPHA_xref;ORPHADATA_exact_gene_association:Disease_causing_germline_mutation_s_gain_of_function_in	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;OMIM:167800;ORPHADATA_PRODUCT6:2026-06-23;ORPHA:676;PMID:23864476;PMID:22379635	Included after exact MONDO-Orphanet disease mapping and assessed Orphadata disease-causing germline association for HPO-linked gene(s) PRSS1. Association type(s): Disease-causing germline mutation(s) (gain of function) in.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:168600	mendelian_susceptibility_uncertain	review	manual_review_unresolved	manual_evidence_review;HPO_mendelian_inheritance;MONDO_ancestor:MONDO:0003847;MONDO_subset:omim_susceptibility;MONDO_exact_ORPHA_xref;ORPHADATA_exact_gene_association:Major_susceptibility_factor_in;no_decisive_inherited_complex_or_somatic_only_evidence	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;OMIM:168600;ORPHADATA_PRODUCT6:2026-06-23;ORPHA:411602;PMID:18987351	Retained for review after disease-and-gene-specific check. Assessed Orphadata association type(s) for HPO-linked gene(s) GBA1 are Major susceptibility factor in; these do not by themselves establish Mendelian causality, confirmed non-monogenic etiology, or somatic-only disease scope.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:177650	mendelian_susceptibility_uncertain	review	manual_review_unresolved	manual_evidence_review;HPO_mendelian_inheritance;MONDO_subset:omim_susceptibility;no_MONDO_ORPHA_identity_mapping;no_decisive_inherited_complex_or_somatic_only_evidence	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;OMIM:177650	Retained for review: HPO reports Mendelian inheritance (HP:0000006; evidence IEA), but MONDO marks a susceptibility/predisposition context and no assessed exact disease-and-gene Orphadata germline association independently resolves whether this is monogenic or complex.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:178500	mendelian_susceptibility_uncertain	review	manual_review_unresolved	manual_evidence_review;HPO_mendelian_inheritance;MONDO_ancestor:MONDO:0003847;MONDO_subset:omim_susceptibility;no_MONDO_ORPHA_identity_mapping;no_decisive_inherited_complex_or_somatic_only_evidence	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;PMID:19100526;OMIM:178500;PMID:3702942;PMID:30854216	Retained for review: HPO reports Mendelian inheritance (HP:0000006; evidence PCS), but MONDO marks a susceptibility/predisposition context and no assessed exact disease-and-gene Orphadata germline association independently resolves whether this is monogenic or complex.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:179300	mendelian_susceptibility_uncertain	review	manual_review_unresolved	manual_evidence_review;HPO_mendelian_inheritance;MONDO_ancestor:MONDO:0003847;MONDO_subset:omim_susceptibility;no_MONDO_ORPHA_identity_mapping;no_decisive_inherited_complex_or_somatic_only_evidence	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;PMID:31138930;OMIM:179300	Retained for review: HPO reports Mendelian inheritance (HP:0000006; evidence PCS), but MONDO marks a susceptibility/predisposition context and no assessed exact disease-and-gene Orphadata germline association independently resolves whether this is monogenic or complex.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:180300	complex_susceptibility_candidate	review	manual_review_unresolved	manual_evidence_review;MONDO_subset:omim_susceptibility;no_MONDO_ORPHA_identity_mapping;no_decisive_inherited_complex_or_somatic_only_evidence	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;OMIM:180300;PMID:28723028;PMID:27156434;PMID:9652497	Retained for review: MONDO/HPO and assessed exact disease-and-gene Orphadata evidence do not decisively distinguish inherited, confirmed non-monogenic, or somatic-only scope.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
