urn	assay_family	subtype_enum	subtype_value	directionality	scale	baseline	units	interpreter	neutral_bands	flexibility_requirement	needs_gene_specific_rules	nonmonotonic	ambiguous	rationale	q05	q95	n_syn_used	band_source	file_path
urn:mavedb:00000002-a-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Phage display selection with multiple rounds; scores computed by Enrich2 via weighted least squares regression across timepoints ('epsilon' and 'score' columns), which represent log2 enrichment and are typically centered to WT≈0.	-0.1438438245008007	0.1257362541021217	68	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000002-a-1.scores.csv
urn:mavedb:00000002-a-2	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Phage display selection with Enrich2 regression over rounds produces log2 enrichment scores (positive=enriched binders, negative=depleted) based on input (timepoint 0) and selection timepoints; outputs are enrichment slopes rather than KD/pKD values.	-3.257311331689232	0.5739085633683287	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000002-a-2.scores.csv
urn:mavedb:00000003-b-1	Interaction	InteractionSubtype	TWO_HYBRID	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	unitless	InteractionInterpreter	[NA, NA]	False	False	False	False	Metadata specifies a yeast two-hybrid assay of BRCA1-BARD1 heterodimer formation ('title', 'abstractText'), with Enrich2 log2 enrichment scoring from input (time 0) over timepoints ('methodText', count columns labeled Y2H_*_c_*). This maps to Interaction/TWO_HYBRID where higher enrichment indicates stronger interaction.	-1.5612801986379423	0.6315894474742446	396	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000003-b-1.scores.csv
urn:mavedb:00000003-b-2	Interaction	InteractionSubtype	TWO_HYBRID	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	unitless	InteractionInterpreter	[NA, NA]	False	False	False	False	Title and abstract explicitly state yeast two-hybrid measuring BRCA1–BARD1 heterodimer formation; method text and count/score columns (Y2H_* timepoints with Enrich2 regression scores) confirm a Y2H interaction assay with scores centered around WT.	-1.2375243217517722	1.3224953188384372	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000003-b-2.scores.csv
urn:mavedb:00000003-a-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Enrich2 regression over selection rounds (methodText: weighted least squares with timepoint rounds; replicate scores combined) yields log2 enrichment centered near WT~0; assay described as phage autoubiquitination measuring E3 activity but scoring is selection-based.	-1.9352436668138933	0.919864974270774	377	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000003-a-1.scores.csv
urn:mavedb:00000003-a-2	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	MethodText and datasetColumns describe Enrich2 regression on timepoint counts (0=input; rounds of selection), yielding log2 enrichment scores; abstract indicates autoubiquitination selection for E3 activity. This matches Fitness LOG2_ENRICHMENT. Y2H counts are present but not used (scoreColumns only PlusE2 replicates).	-2.231790184069122	1.3211250122864406	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000003-a-2.scores.csv
urn:mavedb:00000004-a-3	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Scores computed by Enrich2 using weighted least squares regression across phage display rounds (timepoints; input at c_0). This is a selection/enrichment DMS; Enrich2 typically yields log2 enrichment relative to WT with WT≈0, so higher scores indicate better selection/fitness.	-2.5656972981505257	0.7664576523437432	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000004-a-3.scores.csv
urn:mavedb:00000004-a-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	MethodText and datasetColumns indicate log2 enrichment ratios computed by Enrich from input vs selected round 3 counts; selection for auto-ubiquitination in phage display fits a fitness-style enrichment where higher log2 indicates more selection.	-4.289035094747723	1.629109656987723	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000004-a-1.scores.csv
urn:mavedb:00000004-a-2	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	MethodText describes Enrich2 regression over phage display rounds with input at timepoint 0 and selected rounds, consistent with log2 enrichment-based selection coefficients; Abstract indicates gain-of-function variants enrich under auto-ubiquitination selection, so higher scores imply higher function.	-0.3592199497310145	0.3419786613143011	200	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000004-a-2.scores.csv
urn:mavedb:00000005-a-5	Complementation	ComplementationSubtype	YEAST	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ComplementationInterpreter	[NA, NA]	False	False	False	False	ShortDescription and abstract describe yeast functional complementation; MethodText reports log-ratio enrichment under growth selection and normalization where 1=median synonymous (WT-like) and 0=median nonsense, indicating higher scores reflect better complementation.	0.639353482267146	1.288845043166252	517	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000005-a-5.scores.csv
urn:mavedb:00000005-a-1	Complementation	ComplementationSubtype	YEAST	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ComplementationInterpreter	[NA, NA]	False	False	False	False	Yeast functional complementation: growth selection via DMS-TileSeq with scores normalized so nonsense≈0 and synonymous≈1 (shortDescription, methodText). Higher growth/function maps to higher scores; WT-anchored normalization favors Complementation/YEAST.	0.3838	0.97945	496	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000005-a-1.scores.csv
urn:mavedb:00000005-a-2	Complementation	ComplementationSubtype	YEAST	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ComplementationInterpreter	[NA, NA]	False	False	False	False	Yeast functional complementation: growth selection in yeast lacking CYS4 at high vitamin B6; scores normalized with 0=nonsense median and 1=synonymous median, implying higher scores indicate function. MethodText explicitly describes yeast complementation and WT-anchored normalization.	0.5311	0.98455	491	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000005-a-2.scores.csv
urn:mavedb:00000005-a-4	Complementation	ComplementationSubtype	YEAST	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ComplementationInterpreter	[NA, NA]	False	False	False	False	MethodText and ShortDescription describe yeast functional complementation via growth selection; scores computed as log-ratios and then normalized so nonsense=0 and synonymous (WT-like)=1, matching a WT-anchored, monotonic yeast complementation assay.	0.597755563641609	0.9889934293944076	371	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000005-a-4.scores.csv
urn:mavedb:00000005-a-6	Complementation	ComplementationSubtype	YEAST	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ComplementationInterpreter	[NA, NA]	False	False	False	False	Yeast functional complementation assay (growth rescue of cys4Δ) with TileSeq selection vs non-selection log-ratio scores subsequently normalized to a 0–1 functional scale (nonsense≈0, synonymous≈1). Short description explicitly states complementation in yeast.	0.7480345973873918	1.1858106353644793	500	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000005-a-6.scores.csv
urn:mavedb:00000005-a-3	Complementation	ComplementationSubtype	YEAST	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ComplementationInterpreter	[NA, NA]	False	False	False	False	Yeast functional complementation (growth rescue in cys4Δ), TileSeq selection log-ratios normalized so synonymous≈WT=1 and nonsense≈0; methodText and shortDescription explicitly describe yeast complementation at high vitamin B6.	0.7406230605347435	0.9907110030492254	358	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000005-a-3.scores.csv
urn:mavedb:00000006-a-1	MPRA	MPRASubtype	REPORTER_ACTIVITY	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	MPRAInterpreter	[NA, NA]	False	False	False	False	Enhancer MPRA with reporter activity effects inferred via trivariate regression across haplotype backgrounds; higher predicted activity indicates stronger enhancer function. Metadata explicitly describes in vivo enhancer variants and regression-derived scores.	-0.6476126802016801	0.34583668020168	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000006-a-1.scores.csv
urn:mavedb:00000007-a-1	MPRA	MPRASubtype	REPORTER_ACTIVITY	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	MPRAInterpreter	[0.0, 0.0]	False	False	False	False	Patwardhan et al. 2012 measured enhancer variant effects on transcription in vivo using a reporter assay; scores are regression-derived per-nucleotide effects on reporter activity across haplotype backgrounds, indicating monotonic reporter activity where higher score reflects higher transcription; MPRA context with WT-relative normalization is standard.	-0.2136862537784325	0.1686862537784325	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000007-a-1.scores.csv
urn:mavedb:00000008-a-2	MPRA	MPRASubtype	REPORTER_ACTIVITY	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	MPRAInterpreter	[NA, NA]	False	False	False	False	Study measures enhancer variant effects on transcription using a reporter-like MPRA in vivo; scores are regression-derived effects from normalized tag counts per haplotype, consistent with reporter activity readouts (Patwardhan 2012; methodText and abstract). WT anchoring is not explicitly stated, so mapping to standard MPRA reporter activity is the closest fit.	-0.3233919655560359	0.2233914655560358	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000008-a-2.scores.csv
urn:mavedb:00000008-a-1	MPRA	MPRASubtype	REPORTER_ACTIVITY	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	MPRAInterpreter	[NA, NA]	False	False	False	False	Enhancer MPRA with reporter counts normalized by tags and linear regression per-position to estimate variant effects on transcription; scores represent relative enhancer activity (methodText, abstractText, targetGenes.name).	-0.3540408267181414	0.2375531267181415	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000008-a-1.scores.csv
urn:mavedb:00000009-a-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[0.0, 0.0]	False	False	False	False	MethodText states scores are slopes of log ratio of barcode frequencies vs generations and then normalized by subtracting the wild-type fitness score, yielding WT-centered log2 enrichment fitness; positive scores indicate increased organismal fitness.	-0.0853865640161999	0.0532265640161999	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000009-a-1.scores.csv
urn:mavedb:00000009-a-2	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Method text describes fitness from slopes of log barcode frequency ratios vs generations, then subtracting WT to center at 0; promoter variants measured via growth selection (not reporter).	-0.03603633972805	0.03958633972805	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000009-a-2.scores.csv
urn:mavedb:00000010-a-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Method states 'Log ratio scores were calculated using the Enrich software package and normalized to the wild type score,' indicating log2 enrichment centered to WT—consistent with Fitness/LOG2_ENRICHMENT semantics.	-0.4583143067871823	1.3821754756761822	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000010-a-1.scores.csv
urn:mavedb:00000011-a-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	MethodText states variant scores are the slope of log2(count_variant/count_WT) versus time (wild-type generations), yielding fitness relative to WT with WT≈0; higher slopes indicate higher growth. Abstract confirms growth rate comparison to WT.	0.0	0.01201898195	24	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000011-a-1.scores.csv
urn:mavedb:00000012-a-3	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Method states scores are log2 ratio-of-ratios of mutant over wild type between selected vs input, anchoring WT at ~0; shortDescription indicates yeast growth selection, consistent with fitness log2 enrichment.	-10.728672993184354	3.9905037999043538	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000012-a-3.scores.csv
urn:mavedb:00000012-a-4	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	MethodText describes log2 enrichment as log2(mut/WT at selected) minus log2(mut/WT at input), a WT-referenced enrichment metric; ShortDescription indicates yeast growth selection, consistent with Fitness LOG2_ENRICHMENT.	-13.826186243725552	4.944825593665551	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000012-a-4.scores.csv
urn:mavedb:00000012-a-6	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Method states score is log2 ratio-of-ratios of mutant vs WT between selected and input (enrichment), and shortDescription indicates a yeast growth selection; this matches Fitness LOG2_ENRICHMENT with WT centered at ~0.	-13.698397112372213	5.876622272012211	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000012-a-6.scores.csv
urn:mavedb:00000012-a-2	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Method states scores are log2 ratio-of-ratios of mutant/WT selected vs input, a standard log2 enrichment metric for yeast growth selection; WT-centered with higher enrichment indicating higher fitness.	-9.392580368739084	3.3033545996990825	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000012-a-2.scores.csv
urn:mavedb:00000012-a-5	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Yeast growth selection with scores defined as log2(mutant/wild type in selected) minus log2(mutant/wild type in input), i.e., log2 enrichment centered at WT≈0 (methodText, shortDescription).	-13.149418987415128	4.349340356975129	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000012-a-5.scores.csv
urn:mavedb:00000012-a-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[0, 0]	False	False	False	False	Method describes log2 enrichment computed as mutant/WT ratio-of-ratios between selected and input timepoints in a yeast growth assay, which matches Fitness LOG2_ENRICHMENT centered at WT~=0.	0.0690416205537403	2.07156961076626	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000012-a-1.scores.csv
urn:mavedb:00000013-a-1	Abundance	AbundanceSubtype	VAMP_SEQ	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	AbundanceInterpreter	[NA, NA]	False	False	False	False	"Title and method specify VAMP-seq measuring variant abundance with scores normalized such that WT=1 and nonsense≈0; higher score reflects higher abundance (""increased abundance in high-signal bins gives a higher score""). This matches Abundance/VAMP_SEQ relative-to-WT semantics."	0.7068940251791627	1.1947060607098976	156	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000013-a-1.scores.csv
urn:mavedb:00000013-b-1	Abundance	AbundanceSubtype	VAMP_SEQ	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	AbundanceInterpreter	[NA, NA]	False	False	False	False	Title and abstract explicitly state VAMP-seq; methodText describes abundance measured by fluorescence with min-max normalization anchored to wild type=1 and nonsense=0, indicating a monotonic, WT-relative abundance score.	0.721194090441977	1.3444976036726612	139	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000013-b-1.scores.csv
urn:mavedb:00000014-a-1	Activity	ActivitySubtype	REPORTER_ACTIVITY_REL	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ActivityInterpreter	[NA, NA]	False	False	False	False	Title and abstract describe a promoter/enhancer MPRA; methodText and column descriptions indicate a log2 variant expression effect (regression coefficient) derived from RNA/DNA counts, consistent with reporter activity relative to reference/WT.	-0.0975461844	0.0975461844	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000014-a-1.scores.csv
urn:mavedb:00000015-a-1	MPRA	MPRASubtype	REPORTER_ACTIVITY	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	MPRAInterpreter	[NA, NA]	False	False	False	False	Title and description indicate MPRA on a promoter; methodText states the score is a log2 variant expression effect derived from RNA/DNA counts via linear model, consistent with reporter activity relative to reference (WT=1:log2).	-0.2094789149	0.2294789149	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000015-a-1.scores.csv
urn:mavedb:00000016-a-1	Activity	ActivitySubtype	REPORTER_ACTIVITY_REL	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ActivityInterpreter	[NA, NA]	False	False	False	False	Promoter MPRA in HeLa; the score is a log2 variant expression effect from a linear model using RNA/DNA counts, implying reporter activity relative to WT (WT anchored at 0 in log2 space).	-0.1463192766	0.1463192766	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000016-a-1.scores.csv
urn:mavedb:00000017-a-1	Activity	ActivitySubtype	REPORTER_ACTIVITY_REL	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ActivityInterpreter	[NA, NA]	False	False	False	False	Title and abstract describe an MPRA on a promoter; methodText states scores are 'Log2 variant expression effect' from RNA/DNA-based linear model, implying reporter activity relative to WT (zero-centered after log2).	-0.2150923688	0.1750923688	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000017-a-1.scores.csv
urn:mavedb:00000018-a-1	Activity	ActivitySubtype	REPORTER_ACTIVITY_REL	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ActivityInterpreter	[NA, NA]	False	False	False	False	Promoter MPRA; methodText states 'score is the Log2 variant expression effect derived from the fit of the linear model (coefficient)', indicating reporter activity effects relative to the WT/reference and centered around WT. Title and abstract confirm MPRA of a regulatory element.	-0.2150923688	0.1750923688	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000018-a-1.scores.csv
urn:mavedb:00000019-a-1	Activity	ActivitySubtype	REPORTER_ACTIVITY_REL	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ActivityInterpreter	[NA, NA]	False	False	False	False	Promoter MPRA measuring reporter expression; metadata states 'score is the Log2 variant expression effect' from RNA/DNA linear model, implying WT/referent-anchored log2 relative activity (title: 'Saturation mutagenesis MPRA of HBG1 promoter').	-0.3182520071	0.2182520071	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000019-a-1.scores.csv
urn:mavedb:00000020-a-1	MPRA	MPRASubtype	REPORTER_ACTIVITY	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	MPRAInterpreter	[0, 0]	False	False	False	False	Promoter MPRA measuring reporter expression; metadata states 'score is the Log2 variant expression effect derived from the fit of the linear model', indicating WT-anchored, monotonic log2 relative activity in HEK293T cells.	-0.0975461844	0.0975461844	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000020-a-1.scores.csv
