urn	assay_family	subtype_enum	subtype_value	directionality	scale	baseline	units	interpreter	neutral_bands	flexibility_requirement	needs_gene_specific_rules	nonmonotonic	ambiguous	rationale
urn:mavedb:00000002-a-2	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	false	false	false	false	Phage display selection with Enrich2 regression over rounds produces log2 enrichment scores (positive=enriched binders, negative=depleted) based on input (timepoint 0) and selection timepoints; outputs are enrichment slopes rather than KD/pKD values.
urn:mavedb:00000003-b-1	Interaction	InteractionSubtype	TWO_HYBRID	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	unitless	InteractionInterpreter	[NA, NA]	false	false	false	false	Metadata specifies a yeast two-hybrid assay of BRCA1-BARD1 heterodimer formation ('title', 'abstractText'), with Enrich2 log2 enrichment scoring from input (time 0) over timepoints ('methodText', count columns labeled Y2H_*_c_*). This maps to Interaction/TWO_HYBRID where higher enrichment indicates stronger interaction.
urn:mavedb:00000003-b-2	Interaction	InteractionSubtype	TWO_HYBRID	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	unitless	InteractionInterpreter	[NA, NA]	false	false	false	false	Title and abstract explicitly state yeast two-hybrid measuring BRCA1–BARD1 heterodimer formation; method text and count/score columns (Y2H_* timepoints with Enrich2 regression scores) confirm a Y2H interaction assay with scores centered around WT.
urn:mavedb:00000003-a-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	false	false	false	false	Enrich2 regression over selection rounds (methodText: weighted least squares with timepoint rounds; replicate scores combined) yields log2 enrichment centered near WT~0; assay described as phage autoubiquitination measuring E3 activity but scoring is selection-based.
urn:mavedb:00000003-a-2	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	false	false	false	false	MethodText and datasetColumns describe Enrich2 regression on timepoint counts (0=input; rounds of selection), yielding log2 enrichment scores; abstract indicates autoubiquitination selection for E3 activity. This matches Fitness LOG2_ENRICHMENT. Y2H counts are present but not used (scoreColumns only PlusE2 replicates).
urn:mavedb:00000004-a-3	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	false	false	false	false	Scores computed by Enrich2 using weighted least squares regression across phage display rounds (timepoints; input at c_0). This is a selection/enrichment DMS; Enrich2 typically yields log2 enrichment relative to WT with WT≈0, so higher scores indicate better selection/fitness.
urn:mavedb:00000004-a-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	false	false	false	false	MethodText and datasetColumns indicate log2 enrichment ratios computed by Enrich from input vs selected round 3 counts; selection for auto-ubiquitination in phage display fits a fitness-style enrichment where higher log2 indicates more selection.
urn:mavedb:00000004-a-2	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	false	false	false	false	MethodText describes Enrich2 regression over phage display rounds with input at timepoint 0 and selected rounds, consistent with log2 enrichment-based selection coefficients; Abstract indicates gain-of-function variants enrich under auto-ubiquitination selection, so higher scores imply higher function.
urn:mavedb:00000005-a-5	Complementation	ComplementationSubtype	YEAST	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ComplementationInterpreter	[NA, NA]	false	false	false	false	ShortDescription and abstract describe yeast functional complementation; MethodText reports log-ratio enrichment under growth selection and normalization where 1=median synonymous (WT-like) and 0=median nonsense, indicating higher scores reflect better complementation.
urn:mavedb:00000005-a-1	Complementation	ComplementationSubtype	YEAST	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ComplementationInterpreter	[NA, NA]	false	false	false	false	Yeast functional complementation: growth selection via DMS-TileSeq with scores normalized so nonsense≈0 and synonymous≈1 (shortDescription, methodText). Higher growth/function maps to higher scores; WT-anchored normalization favors Complementation/YEAST.
urn:mavedb:00000005-a-2	Complementation	ComplementationSubtype	YEAST	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ComplementationInterpreter	[NA, NA]	false	false	false	false	Yeast functional complementation: growth selection in yeast lacking CYS4 at high vitamin B6; scores normalized with 0=nonsense median and 1=synonymous median, implying higher scores indicate function. MethodText explicitly describes yeast complementation and WT-anchored normalization.
urn:mavedb:00000005-a-4	Complementation	ComplementationSubtype	YEAST	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ComplementationInterpreter	[NA, NA]	false	false	false	false	MethodText and ShortDescription describe yeast functional complementation via growth selection; scores computed as log-ratios and then normalized so nonsense=0 and synonymous (WT-like)=1, matching a WT-anchored, monotonic yeast complementation assay.
urn:mavedb:00000005-a-6	Complementation	ComplementationSubtype	YEAST	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ComplementationInterpreter	[NA, NA]	false	false	false	false	Yeast functional complementation assay (growth rescue of cys4Δ) with TileSeq selection vs non-selection log-ratio scores subsequently normalized to a 0–1 functional scale (nonsense≈0, synonymous≈1). Short description explicitly states complementation in yeast.
urn:mavedb:00000005-a-3	Complementation	ComplementationSubtype	YEAST	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ComplementationInterpreter	[NA, NA]	false	false	false	false	Yeast functional complementation (growth rescue in cys4Δ), TileSeq selection log-ratios normalized so synonymous≈WT=1 and nonsense≈0; methodText and shortDescription explicitly describe yeast complementation at high vitamin B6.
urn:mavedb:00000006-a-1	MPRA	MPRASubtype	REPORTER_ACTIVITY	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	MPRAInterpreter	[NA, NA]	false	false	false	false	Enhancer MPRA with reporter activity effects inferred via trivariate regression across haplotype backgrounds; higher predicted activity indicates stronger enhancer function. Metadata explicitly describes in vivo enhancer variants and regression-derived scores.
urn:mavedb:00000007-a-1	MPRA	MPRASubtype	REPORTER_ACTIVITY	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	MPRAInterpreter	[0.0, 0.0]	false	false	false	false	Patwardhan et al. 2012 measured enhancer variant effects on transcription in vivo using a reporter assay; scores are regression-derived per-nucleotide effects on reporter activity across haplotype backgrounds, indicating monotonic reporter activity where higher score reflects higher transcription; MPRA context with WT-relative normalization is standard.
urn:mavedb:00000008-a-2	MPRA	MPRASubtype	REPORTER_ACTIVITY	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	MPRAInterpreter	[NA, NA]	false	false	false	false	Study measures enhancer variant effects on transcription using a reporter-like MPRA in vivo; scores are regression-derived effects from normalized tag counts per haplotype, consistent with reporter activity readouts (Patwardhan 2012; methodText and abstract). WT anchoring is not explicitly stated, so mapping to standard MPRA reporter activity is the closest fit.
urn:mavedb:00000008-a-1	MPRA	MPRASubtype	REPORTER_ACTIVITY	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	MPRAInterpreter	[NA, NA]	false	false	false	false	Enhancer MPRA with reporter counts normalized by tags and linear regression per-position to estimate variant effects on transcription; scores represent relative enhancer activity (methodText, abstractText, targetGenes.name).
urn:mavedb:00000009-a-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[0.0, 0.0]	false	false	false	false	MethodText states scores are slopes of log ratio of barcode frequencies vs generations and then normalized by subtracting the wild-type fitness score, yielding WT-centered log2 enrichment fitness; positive scores indicate increased organismal fitness.
urn:mavedb:00000009-a-2	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	false	false	false	false	Method text describes fitness from slopes of log barcode frequency ratios vs generations, then subtracting WT to center at 0; promoter variants measured via growth selection (not reporter).
urn:mavedb:00000010-a-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	false	false	false	false	Method states 'Log ratio scores were calculated using the Enrich software package and normalized to the wild type score,' indicating log2 enrichment centered to WT—consistent with Fitness/LOG2_ENRICHMENT semantics.
urn:mavedb:00000011-a-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	false	false	false	false	MethodText states variant scores are the slope of log2(count_variant/count_WT) versus time (wild-type generations), yielding fitness relative to WT with WT≈0; higher slopes indicate higher growth. Abstract confirms growth rate comparison to WT.
urn:mavedb:00000012-a-3	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	false	false	false	false	Method states scores are log2 ratio-of-ratios of mutant over wild type between selected vs input, anchoring WT at ~0; shortDescription indicates yeast growth selection, consistent with fitness log2 enrichment.
urn:mavedb:00000012-a-4	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	false	false	false	false	MethodText describes log2 enrichment as log2(mut/WT at selected) minus log2(mut/WT at input), a WT-referenced enrichment metric; ShortDescription indicates yeast growth selection, consistent with Fitness LOG2_ENRICHMENT.
urn:mavedb:00000012-a-6	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	false	false	false	false	Method states score is log2 ratio-of-ratios of mutant vs WT between selected and input (enrichment), and shortDescription indicates a yeast growth selection; this matches Fitness LOG2_ENRICHMENT with WT centered at ~0.
urn:mavedb:00000012-a-2	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	false	false	false	false	Method states scores are log2 ratio-of-ratios of mutant/WT selected vs input, a standard log2 enrichment metric for yeast growth selection; WT-centered with higher enrichment indicating higher fitness.
urn:mavedb:00000012-a-5	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	false	false	false	false	Yeast growth selection with scores defined as log2(mutant/wild type in selected) minus log2(mutant/wild type in input), i.e., log2 enrichment centered at WT≈0 (methodText, shortDescription).
urn:mavedb:00000012-a-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[0, 0]	false	false	false	false	Method describes log2 enrichment computed as mutant/WT ratio-of-ratios between selected and input timepoints in a yeast growth assay, which matches Fitness LOG2_ENRICHMENT centered at WT~=0.
urn:mavedb:00000013-a-1	Abundance	AbundanceSubtype	VAMP_SEQ	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	AbundanceInterpreter	[NA, NA]	false	false	false	false	Title and method specify VAMP-seq measuring variant abundance with scores normalized such that WT=1 and nonsense≈0; higher score reflects higher abundance ("increased abundance in high-signal bins gives a higher score"). This matches Abundance/VAMP_SEQ relative-to-WT semantics.
urn:mavedb:00000013-b-1	Abundance	AbundanceSubtype	VAMP_SEQ	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	AbundanceInterpreter	[NA, NA]	false	false	false	false	Title and abstract explicitly state VAMP-seq; methodText describes abundance measured by fluorescence with min-max normalization anchored to wild type=1 and nonsense=0, indicating a monotonic, WT-relative abundance score.
urn:mavedb:00000014-a-1	Activity	ActivitySubtype	REPORTER_ACTIVITY_REL	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ActivityInterpreter	[NA, NA]	false	false	false	false	Title and abstract describe a promoter/enhancer MPRA; methodText and column descriptions indicate a log2 variant expression effect (regression coefficient) derived from RNA/DNA counts, consistent with reporter activity relative to reference/WT.
urn:mavedb:00000015-a-1	MPRA	MPRASubtype	REPORTER_ACTIVITY	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	MPRAInterpreter	[NA, NA]	false	false	false	false	Title and description indicate MPRA on a promoter; methodText states the score is a log2 variant expression effect derived from RNA/DNA counts via linear model, consistent with reporter activity relative to reference (WT=1:log2).
urn:mavedb:00000016-a-1	Activity	ActivitySubtype	REPORTER_ACTIVITY_REL	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ActivityInterpreter	[NA, NA]	false	false	false	false	Promoter MPRA in HeLa; the score is a log2 variant expression effect from a linear model using RNA/DNA counts, implying reporter activity relative to WT (WT anchored at 0 in log2 space).
urn:mavedb:00000017-a-1	Activity	ActivitySubtype	REPORTER_ACTIVITY_REL	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ActivityInterpreter	[NA, NA]	false	false	false	false	Title and abstract describe an MPRA on a promoter; methodText states scores are 'Log2 variant expression effect' from RNA/DNA-based linear model, implying reporter activity relative to WT (zero-centered after log2).
urn:mavedb:00000018-a-1	Activity	ActivitySubtype	REPORTER_ACTIVITY_REL	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ActivityInterpreter	[NA, NA]	false	false	false	false	Promoter MPRA; methodText states 'score is the Log2 variant expression effect derived from the fit of the linear model (coefficient)', indicating reporter activity effects relative to the WT/reference and centered around WT. Title and abstract confirm MPRA of a regulatory element.
urn:mavedb:00000019-a-1	Activity	ActivitySubtype	REPORTER_ACTIVITY_REL	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ActivityInterpreter	[NA, NA]	false	false	false	false	Promoter MPRA measuring reporter expression; metadata states 'score is the Log2 variant expression effect' from RNA/DNA linear model, implying WT/referent-anchored log2 relative activity (title: 'Saturation mutagenesis MPRA of HBG1 promoter').
urn:mavedb:00000020-a-1	MPRA	MPRASubtype	REPORTER_ACTIVITY	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	MPRAInterpreter	[0, 0]	false	false	false	false	Promoter MPRA measuring reporter expression; metadata states 'score is the Log2 variant expression effect derived from the fit of the linear model', indicating WT-anchored, monotonic log2 relative activity in HEK293T cells.
urn:mavedb:00000021-a-1	MPRA	MPRASubtype	REPORTER_ACTIVITY	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	MPRAInterpreter	[NA, NA]	false	false	false	false	MPRA of a regulatory enhancer; scores are log2 variant expression effects from RNA/DNA regression, indicating reporter activity changes relative to reference/WT.
urn:mavedb:00000022-a-1	MPRA	MPRASubtype	REPORTER_ACTIVITY	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	MPRAInterpreter	[NA, NA]	false	false	false	false	MPRA of an enhancer; score is described as the log2 variant expression effect (linear model coefficient) from RNA/DNA counts, consistent with reporter activity relative to a WT/reference baseline.
urn:mavedb:00000023-a-1	Activity	ActivitySubtype	REPORTER_ACTIVITY_REL	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ActivityInterpreter	[NA, NA]	false	false	false	false	Title and abstract describe promoter MPRA; methodText states the score is a log2 variant expression effect from a linear model, indicating reporter activity relative to WT.
urn:mavedb:00000023-a-2	MPRA	MPRASubtype	REPORTER_ACTIVITY	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	MPRAInterpreter	[NA, NA]	false	false	false	false	Metadata describes a massively parallel reporter assay of a promoter with scores as log2 variant expression effects from a linear model (anchored to WT/reference), which matches MPRA reporter activity relative to WT.
urn:mavedb:00000024-a-1	MPRA	MPRASubtype	REPORTER_ACTIVITY	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	MPRAInterpreter	[NA, NA]	false	false	false	false	Title and abstract describe an MPRA of a promoter; method text states the score is a log2 variant expression effect (linear model coefficient), implying relative reporter activity anchored to WT (~0 after log2). Thus, MPRA/REPORTER_ACTIVITY with WT=1:log2 and higher expression interpreted as higher function.
urn:mavedb:00000025-a-1	MPRA	MPRASubtype	REPORTER_ACTIVITY	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	MPRAInterpreter	[NA, NA]	false	false	false	false	MPRA on enhancer with scores defined as log2 variant expression effect from a linear model using DNA/RNA counts (methodText), indicating reporter activity measured relative to reference/WT construct.
urn:mavedb:00000026-a-1	MPRA	MPRASubtype	REPORTER_ACTIVITY	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	MPRAInterpreter	[NA, NA]	false	false	false	false	Title/abstract describe an MPRA of an enhancer; method notes a linear model yielding log2 variant expression effects from RNA/DNA counts, i.e., reporter activity on a log2 scale relative to reference/WT.
urn:mavedb:00000027-a-1	MPRA	MPRASubtype	REPORTER_ACTIVITY	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	MPRAInterpreter	[NA, NA]	false	false	false	false	Promoter MPRA; 'score' is a log2 variant expression effect from DNA/RNA counts via regression, consistent with reporter activity relative to WT (log2). 24h K562 assay; regulatory target.
urn:mavedb:00000027-b-1	Activity	ActivitySubtype	REPORTER_ACTIVITY_REL	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ActivityInterpreter	[NA, NA]	false	false	false	false	Title/abstract describe a promoter MPRA; method states the score is a log2 variant expression effect (linear-model coefficient), i.e., reporter activity relative to the reference/WT baseline. Thus map to reporter activity relative to WT with log2 scale.
urn:mavedb:00000028-a-1	MPRA	MPRASubtype	REPORTER_ACTIVITY	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	MPRAInterpreter	[NA, NA]	false	false	false	false	Title and abstract describe MPRA of an enhancer; methodText states the score is a log2 variant expression effect from RNA/DNA counts via linear model, implying reporter activity relative to a WT/neutral baseline (log2, WT≈0).
urn:mavedb:00000029-b-1	MPRA	MPRASubtype	REPORTER_ACTIVITY	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	MPRAInterpreter	[NA, NA]	false	false	false	false	Experiment is an enhancer MPRA; method states score is the log2 variant expression effect (linear model coefficient) from DNA/RNA counts, implying effects are relative to a baseline WT sequence with 0~WT. Title and abstract explicitly describe MPRA reporter assay on SORT1 enhancer.
urn:mavedb:00000029-a-1	MPRA	MPRASubtype	REPORTER_ACTIVITY	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	MPRAInterpreter	[NA, NA]	false	false	false	false	Enhancer MPRA with reporter readout; score defined as log2 variant expression effect from RNA/DNA regression, implying WT-anchored relative activity (0≈WT).
urn:mavedb:00000029-a-2	Activity	ActivitySubtype	REPORTER_ACTIVITY_REL	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ActivityInterpreter	[NA, NA]	false	false	false	false	MPRA on a regulatory enhancer with scores defined as log2 variant expression effects from RNA/DNA counts via linear model, implying WT-anchored relative reporter activity where 0≈WT.
urn:mavedb:00000030-a-1	Activity	ActivitySubtype	REPORTER_ACTIVITY_REL	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ActivityInterpreter	[NA, NA]	false	false	false	false	Title and abstract describe a promoter/enhancer MPRA; methodText specifies the score is a log2 variant expression effect from RNA/DNA counts via a linear model, indicating reporter activity relative to a reference (WT baseline).
urn:mavedb:00000031-b-1	MPRA	MPRASubtype	REPORTER_ACTIVITY	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	MPRAInterpreter	[NA, NA]	false	false	false	false	Promoter MPRA; score is the log2 variant expression effect (linear-model coefficient) from RNA/DNA counts, indicating relative reporter activity vs reference/WT.
urn:mavedb:00000031-a-1	MPRA	MPRASubtype	REPORTER_ACTIVITY	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	MPRAInterpreter	[NA, NA]	false	false	false	false	Promoter MPRA with score defined as log2 variant expression effect derived from RNA/DNA regression, indicating reporter activity relative to reference/WT.
urn:mavedb:00000031-c-1	MPRA	MPRASubtype	REPORTER_ACTIVITY	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	MPRAInterpreter	[NA, NA]	false	false	false	false	Title and abstract explicitly state MPRA on a promoter; methodText says the score is a log2 variant expression effect from RNA vs DNA counts, implying reporter activity relative to WT with log2 scaling.
urn:mavedb:00000031-d-1	MPRA	MPRASubtype	REPORTER_ACTIVITY	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	MPRAInterpreter	[NA, NA]	false	false	false	false	Title and abstract describe a promoter MPRA; method states the score is a log2 variant expression effect from a linear model using DNA and RNA counts, indicating reporter activity relative to reference/WT.
urn:mavedb:00000032-a-1	MPRA	MPRASubtype	REPORTER_ACTIVITY	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	MPRAInterpreter	[NA, NA]	false	false	false	false	MPRA on enhancer; score described as 'Log2 variant expression effect' from linear model, implying WT-anchored relative reporter activity. Title and abstract explicitly indicate MPRA saturation mutagenesis of regulatory element.
urn:mavedb:00000033-a-1	MPRA	MPRASubtype	REPORTER_ACTIVITY	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	MPRAInterpreter	[NA, NA]	false	false	false	false	MPRA on an enhancer; score described as log2 variant expression effect from DNA/RNA counts via linear model, consistent with reporter activity relative to WT.
urn:mavedb:00000034-a-1	MPRA	MPRASubtype	REPORTER_ACTIVITY	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	MPRAInterpreter	[NA, NA]	false	false	false	false	MPRA of a regulatory enhancer; methodText states the score is a log2 variant expression effect from RNA/DNA counts via linear model, consistent with reporter activity relative to reference/WT.
urn:mavedb:00000034-b-1	Activity	ActivitySubtype	REPORTER_ACTIVITY_REL	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ActivityInterpreter	[NA, NA]	false	false	false	false	Enhancer MPRA with RNA/DNA-based linear model; 'score' is the log2 variant expression effect, implying reporter activity relative to WT (WT≈0 in log2 space).
urn:mavedb:00000035-a-2	Complementation	ComplementationSubtype	YEAST	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ComplementationInterpreter	[NA, NA]	false	false	false	false	Short description explicitly states a functional complementation assay in yeast via DMS-TileSeq; mapping to Complementation/YEAST with WT-relative log2 scores and HIGHER_IS_FUNCTION is consistent. Presence of imputed scores (pred.score) does not change experimental assay semantics.
urn:mavedb:00000035-a-3	Complementation	ComplementationSubtype	YEAST	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ComplementationInterpreter	[NA, NA]	false	false	false	false	Short description explicitly states a functional complementation assay in yeast (DMS-TileSeq) for HMGCR under atorvastatin, indicating yeast-based complementation with monotonic, WT-anchored relative functional scores. Presence of exp.score/pred.score columns does not change experimental assay semantics.
urn:mavedb:00000035-a-1	Complementation	ComplementationSubtype	YEAST	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ComplementationInterpreter	[NA, NA]	false	false	false	false	ShortDescription explicitly states a functional complementation assay in yeast (DMS-TileSeq in rosuvastatin media). DatasetColumns include experimental scores (exp.score/exp.se). Complementation (YEAST) with WT-relative log2 scaling and higher-is-function best matches the assay semantics.
