URN	RefSeq_IDs	Ensembl_IDs	Experiment_Type	DMS_Assay_Type	Score_Interpretation	Score_Hypothesis_Evaluation	Timestamp
urn:mavedb:00000049-a-1	NM_005957	ENSG00000177000	DMS	Yeast Complementation	Higher scores likely indicate better functional complementation of MTHFR in yeast, suggesting the variant retains MTHFR activity.	Fits	2025-04-17 13:47:33
urn:mavedb:00000050-a-1	NP_000242.1	Not Found	DMS	Growth-based (non-yeast)	Scores represent the log2-scaled enrichment of each MSH2 variant after selection with 6-TG compared with mock selection, averaged over three replicates.	Does not fit: The score interpretation is already provided and does not align with the general hypothesis. Positive scores indicate loss-of-function, and negative scores indicate functionally neutral variants.	2025-04-17 13:47:33
urn:mavedb:00000051-c-1	Not Found	Not Found	DMS	Sorting-based	Scores represent the apparent changes in free energy due to each single-point substitution.	Does not fit: The scores represent changes in free energy, not a direct measure of function relative to wild type.	2025-04-17 13:47:33
urn:mavedb:00000051-a-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate a more favorable change in free energy for membrane integration.	Does not fit: The scores represent changes in free energy, not direct activity levels. A lower score (more negative delta delta G) would indicate a more favorable change.	2025-04-17 13:47:38
urn:mavedb:00000051-b-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate a more favorable change in free energy for membrane integration.	Does not fit: The scores represent changes in free energy, not direct activity levels. A lower score (more negative delta delta G) would indicate a more favorable change.	2025-04-17 13:47:38
urn:mavedb:00000052-a-1	Not Found	Not Found	DMS	Fluorescence/Luminescence	Higher scores indicate increased Gcn4 activation domain activity in complete media, as measured by the GFP/mCherry ratio.	Fits	2025-04-17 13:47:38
urn:mavedb:00000052-b-1	Not Found	Not Found	DMS	Fluorescence/Luminescence	Higher scores indicate a greater induction ratio of Gcn4 activation domain activity under starvation conditions compared to complete media.	Fits	2025-04-17 13:47:38
urn:mavedb:00000053-a-1	Not Found	Not Found	DMS	Binding Assay	Insufficient information to determine the score interpretation.	Does not fit: Insufficient information to determine if the hypothesis fits.	2025-04-17 13:47:38
urn:mavedb:00000053-a-2	Not Found	Not Found	DMS	Binding Assay	Higher scores indicate increased binding affinity of the PDZ3 domain to the CRIPT ligand.	Fits	2025-04-17 13:47:43
urn:mavedb:00000054-a-1	Not Found	Not Found	DMS	Enzyme Activity	Scores represent the activity of PTEN measured by a lipid phosphatase assay.	Fits	2025-04-17 13:47:43
